accession,mouse_gene
Q52KG5,Kif26a
O35066,Kif3c
Q91Y82,Klk6
P26262,Klkb1
E9Q0W1,Klrb1a
G3UWZ3,Kmt2c
D3YTY9,Kng1
Q6S9I0,Kng2
P07744,Krt4
P50446,Krt6a
Q8BGZ7,Krt75
E9Q0F0,Krt78
M0QW59,Ksr2
A2AFG7,L1cam
Q61790,Lag3
F8VQ40,Lama1
Q60675,Lama2
P97927,Lama4
Q61292,Lamb2
F8VQJ3,Lamc1
P17047,Lamp2
Q9CPY7,Lap3
A2A6H1,Lasp1
Q61805,Lbp
P16301,Lcat
Q61233,Lcp1
B1ATD1,Lcp2
A0A1B0GSR9,Ldha
P16125,Ldhb
P35951,Ldlr
O09010,Lfng
Q07797,Lgals3bp
O89017,Lgmn
P42703,Lifr
F6QX71,Lime1
Q9D1T0,Lingo1
Q9DBH5,Lman2
Q9D5U0,Lpcat2b
Q91XL1,Lrg1
Q9D5S7,Lrguk
A0A0R4J0I9,Lrp1
A2ARV4,Lrp2
B2RVX0,Lrrc30
Q9DAM1,Lrrc34
D3YZP3,Lrrc4b
A0A087WSF5,Lrrfip1
Q0P5X1,Lrriq1
Q61809,Lrrn1
A0A087WP80,Lsamp
P24527,Lta4h
D3Z598,Ltbp4
P08071,Ltf
P51885,Lum
Q9WUC3,Ly6h
O88188,Ly86
E9QLB2,Lyplal1
P97412,Lyst
Q8BHC0,Lyve1
P08905,Lyz2
E9QA63,Macf1
Q922B1,Macrod1
A0A087WRD6,Mag
A2AJX4,Malrd1
F6QNH6,Mamdc4
P45700,Man1a1
Q8BRK9,Man2a2
O09159,Man2b1
O54782,Man2b2
A0A0R4J092,Manba
P14873,Map1b
Q8CE90,Map2k7
E9PWG9,Map3k5
A0A0G2JFH2,Map4
O08911,Mapk12
D3Z6D8,Mapk3
D3Z1Z4,Mapk8
B1AQW2,Mapt
Q8CIP4,Mark4
P98064,Masp1
A0A0U1RNT6,Mat2a
P04247,Mb
P39039,Mbl1
F6ZIA4,Mbp
Q3UN88,Mcpt4
E9Q6S8,Mdga1
P14152,Mdh1
P08249,Mdh2
J3QMC5,Mdn1
Q3TQP6,Me1
A2AGH6,Med12
E9QLJ3,Med13l
Q60805,Mertk
Q9ERE8,Mesdc1
F8VQL0,Met
Q8C1Q4,Metrn
A2AAV6,Metrnl
P21956,Mfge8
Q921V5,Mgat2
P19788,Mgp
Q61865,Mia
Q8CJ19,Mical3
P34884,Mif
Q9Z2L6,Minpp1
Q9D279,Misp
P33435,Mmp13
P33434,Mmp2
A6H6E2,Mmrn2
B1AUR6,Mms22l
Q29ZQ5,Mog
F7DC05,Mpo
B7ZCL8,Mpp1
Q64449,Mrc2
Q61216,Mre11a
E9PZ22,Mroh4
Q3UR44,Mrvi1
P19437,Ms4a1
Q91YU3,Msantd4
P26041,Msn
P02802,Mt1
P02798,Mt2
P28184,Mt3
B8JJI7,Mtcl1
B1ARW6,Mtf1
M0QW74,Mtmr3
A0A140LJ72,Muc16
E9PWB6,Muc5ac
P28665,Mug1
P28666,Mug2
A2CEL1,Mup1
A2BIN1,Mup10
Q5FW60,Mup20
P11590,Mup4
A2AKN8,Mup8
Q99JI1,Mustn1
Q7TPH6,Mycbp2
Q9CPT4,Mydgf
F8WGG3,Myg1
Q5SX39,Myh4
Q8VDD5,Myh9
E9PWG4,Myl1
Q60605,Myl6
Q9QZZ4,Myo15a
A0A0J9YUE0,Myo1h
O70624,Myoc
Q9QWR8,Naga
Q99KQ4,Nampt
V9GXT3,Nav2
E9Q589,Ncam1
O35136,Ncam2
A0A0R4IZX5,Ncan
Q3UYV9,Ncbp1
G3X9C2,Nccrp1
Q9QYG0,Ndrg2
E9QPX3,Ndufs4
P29595,Nedd8
A0A4W9,Negr1
Q922L6,Nelfcd
Q61220,Nell2
E9QK04,Neo1
Q810U3,Nfasc
P10493,Nid1
O88322,Nid2
Q9JHW2,Nit2
P30415,Nktr
Q69ZK9,Nlgn2
B0F2B4,Nlgn4l
Q5NC80,Nme1
Q01768,Nme2
A2CG28,Notch4
Q9Z0J0,Npc2
A2AJ20,Npdc1
E9Q039,Npepps
Q61839,Nppc
P97300,Nptn
Q62443,Nptx1
E9PZM8,Nptxr
Q64669,Nqo1
Q9JI75,Nqo2
Q810U4,Nrcam
P60761,Nrgn
P97333,Nrp1
Q8BMT4,Nrros
E0CY11,Nrxn1
E9Q5N7,Nrxn2
E9Q2X2,Nrxn3
P46460,Nsf
Q9CZ44,Nsfl1c
D3Z396,Ntm
P15209,Ntrk2
Q02819,Nucb1
Q9CQ48,Nudcd2
D3YWJ0,Nuggc
Q8R0G9,Nup133
Q9Z0W3,Nup160
Q8R480,Nup85
Q8BHP2,Nutm1
Q61200,Nxph1
Q8QZR4,Oaf
Q8C2W3,Oas1e
P29758,Oat
P51879,Ocm
Z4YJV4,Ogdh
E9Q7L0,Ogdhl
Q62000,Ogn
A3KGE4,Olfm1
A0A0R4J086,Olfml3
A2ARY1,Olfr1040
A2ATM2,Olfr1262
Q7TQY0,Olfr1288
Q8VFG2,Olfr1367
Q8VG87,Olfr273
Q8VFU2,Olfr816
A0A1D5RLF5,Olfr887
O35103,Omd
Q63912,Omg
Q6DFY2,Opcml
Q60590,Orm1
A0A0R4J1K2,Otof
D3YWF6,Otub1
Q3UJQ9,Oxct1
P01630,P01630
P01634,P01634
P01638,P01638
P01644,P01644
P01646,P01646
P01654,P01654
P01660,P01660
P01664,P01664
P01670,P01670
P01677,P01677
P01746,P01746
P01783,P01783
P01794,P01794
P01796,P01796
P01806,P01806
P01820,P01820
P01837,P01837
P01843,P01843
P01878,P01878
P03976,P03976
P06330,P06330
P18525,P18525
A2AW03,P2rx3
Q9JJS7,P2ry4
P09103,P4hb
P84751,P84751
P50580,Pa2g4
P63005,Pafah1b1
Q61206,Pafah1b2
P97467,Pam
O88428,Papss2
F6TB42,Pard3
A2A813,Park7
Q2EMV9,Parp14
D3YZC1,Pccb
Q6P0A6,Pcdh10
A0A140T8S2,Pcdh15
Q8VI59,Pcnx3
Q61398,Pcolce
P63054,Pcp4
Q9QXV0,Pcsk1n
Q01065,Pde1b
P35486,Pdha1
Q9D051,Pdhb
P27773,Pdia3
P08003,Pdia4
Q922R8,Pdia6
Q8K183,Pdxk
P60487,Pdxp
E9Q5P6,Pdzrn4
Q69Z38,Peak1
P70296,Pebp1
P22005,Penk
Q11136,Pepd
Q5BL07,Pex1
Q91XC9,Pex16
P47857,Pfkm
D3YUA3,Pfkp
P62962,Pfn1
Q9JJV2,Pfn2
Q9DBJ1,Pgam1
O70250,Pgam2
Q9DCD0,Pgd
P09411,Pgk1
O88593,Pglyrp1
Q8VCS0,Pglyrp2
Q9D0F9,Pgm1
Q8CHP8,Pgp
A0A1B0GSC4,Pgpep1
F6ZSB7,Phgdh
Q9DAK9,Phpt1
F7D3N3,Phyhipl
F6QYZ5,Pi16
E0CZ88,Pianp
D3Z5N5,Pikfyve
P53811,Pitpnb
E9Q4D4,Pkd1l2
Q9JLG4,Pkd2l2
F8VQF3,Pkdrej
P52480,Pkm
Q8K045,Pkn3
Q60963,Pla2g7
Q3TCN2,Plbd2
F6WKY8,Pld1
O35405,Pld3
D6RCJ9,Pld5
E9Q3W4,Plec
P20918,Plg
Q9R0E2,Plod1
P60202,Plp1
A0A0G2JGY9,Plppr4
P55065,Pltp
Q9DC11,Plxdc2
B2RXS4,Plxnb2
A3KG59,Pm20d2
P56942,Pmch
Q9WVQ0,Pmfbp1
P24526,Pmp2
P23492,Pnp
Q8BYB9,Poglut1
Q5Q9H7,Polk
Q8CFI7,Polr2b
E9PWD9,Polrmt
H3BKB7,Pou2f2
B8QI34,Ppfia2
P17742,Ppia
P24369,Ppib
P30412,Ppic
P49443,Ppm1a
Q8BKK4,Ppp1r1c
Q6R891,Ppp1r9b
Q76MZ3,Ppp2r1a
Q91V89,Ppp2r5d
P63328,Ppp3ca
F7BX26,Ppp5c
Q80XD8,Prap1
B1AXW5,Prdx1
Q61171,Prdx2
P20108,Prdx3
P99029,Prdx5
Q6GT24,Prdx6
Q8BG37,Prdx6b
Q9JK53,Prelp
Q9QUR6,Prep
E9QQ18,Prg4
